a,b,c,n_promoted,coverage,mean_edge_delta,mean_brier_delta,large_harms,wins,qualifies
2.0,0.45,0.65,11,0.4583333333333333,-0.3876459207208552,0.002910029399495753,0,10,False
2.0,0.45,0.8,2,0.08333333333333333,0.15667292849756076,0.013959873076516145,0,1,False
2.0,0.55,0.35,24,1.0,-0.5349454048873116,0.0016932069831075852,0,23,True
2.0,0.55,0.5,21,0.875,-0.5015424392636785,0.0013792978553359757,0,20,True
2.0,0.55,0.65,11,0.4583333333333333,-0.3876459207208552,0.002910029399495753,0,10,False
2.0,0.55,0.8,2,0.08333333333333333,0.15667292849756076,0.013959873076516145,0,1,False
2.0,0.7,0.35,24,1.0,-0.5349454048873116,0.0016932069831075852,0,23,True
2.0,0.7,0.5,21,0.875,-0.5015424392636785,0.0013792978553359757,0,20,True
2.0,0.7,0.65,11,0.4583333333333333,-0.3876459207208552,0.002910029399495753,0,10,False
2.0,0.7,0.8,2,0.08333333333333333,0.15667292849756076,0.013959873076516145,0,1,False
